# ACTS Test Suite Generation: Thu Nov 04 11:35:24 EET 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 6
# Maximum number of values per parameter: 183
# Number of configurations: 7267
Data_length,Reference_Type,File_number,Record_number,Record_length,Record_data
19,66,511,2048,2049,27
20,67,512,2049,4095,27
21,68,513,4095,4096,27
27,69,1023,4096,4097,27
28,123,1024,4097,8191,27
29,124,1025,8191,8192,27
30,125,2047,8192,8193,27
31,126,2048,8193,16383,27
32,127,2049,9993,16384,27
33,128,4095,9994,16385,27
34,129,4096,9995,32767,27
35,1,4097,9996,32768,27
36,4,8191,9997,32769,27
37,5,8192,9998,65471,27
59,6,8193,9999,65472,27
60,9,10000,10000,65473,27
61,10,16383,10001,65503,27
62,11,16384,10002,65504,27
63,15,16385,10003,65505,27
64,16,32767,10004,65519,27
65,19,32768,16383,65520,27
66,63,32769,16384,65521,27
67,12,65471,16385,65527,27
68,20,65472,32767,65528,27
69,3,65473,32768,65529,27
123,7,65503,32769,65530,27
124,14,65504,65471,65531,27
125,64,65505,65472,65532,27
126,18,65519,65473,65533,27
127,60,65520,65503,65534,27
128,62,65521,65504,65535,27
129,37,65527,65505,0,27
130,59,65528,65519,1,27
131,61,65529,65520,2,27
132,62,65530,65521,3,27
133,130,65531,65527,4,27
251,131,65532,65528,5,27
252,2,65533,65529,7,27
253,132,65534,65530,8,27
254,133,65535,65531,9,27
255,251,0,65532,15,27
0,252,1,65533,16,27
1,253,2,65534,17,27
2,254,3,65535,31,27
5,255,4,0,32,29
6,0,5,1,33,29
7,1,7,2,63,29
8,19,8,3,64,29
9,20,9,4,65,29
10,21,10,5,116,29
11,27,11,7,117,29
12,33,12,8,118,29
13,34,13,9,119,29
14,35,14,15,120,29
15,36,15,16,121,29
16,37,16,17,122,29
17,59,17,31,123,29
18,60,31,32,124,29
19,61,32,33,125,29
20,63,33,63,126,29
21,64,63,64,127,29
27,65,64,65,128,29
28,124,65,127,129,29
29,125,127,128,255,29
30,126,128,129,256,29
31,127,129,255,257,29
32,128,255,256,511,29
33,129,256,257,512,29
34,130,257,511,513,29
35,251,511,512,1023,29
36,252,512,513,1024,29
37,253,513,1023,1025,29
59,254,1023,1024,2047,29
60,3,1024,1025,2048,29
61,4,1025,2047,2049,29
62,5,2047,2048,4095,29
63,6,2048,2049,4096,29
64,7,2049,4095,4097,29
65,8,4095,4096,8191,29
66,9,4096,4097,8192,29
67,10,4097,8191,8193,29
68,11,8191,8192,16383,29
69,12,8192,8193,16384,29
123,13,8193,9993,16385,29
124,15,10000,9994,32767,29
125,17,16383,9995,32768,29
126,30,16384,9996,32769,29
127,31,16385,9997,65471,29
128,32,32767,9998,65472,29
129,68,32768,9999,65473,29
130,69,32769,10000,65503,29
131,123,65471,10001,65504,29
132,14,65472,10002,65505,29
133,28,65473,10003,65519,29
251,29,65503,10004,65520,29
252,66,65504,16383,65521,29
253,67,65505,16384,65527,29
254,131,65519,16385,65528,29
255,62,65520,32767,65529,29
0,18,65521,32768,65530,29
